MGE	MAG	Total Signal	Signal rate	Interacting Contigs
MetaTOR_MGE_00103       	metator_00013_00000     	0.182159	100.00	15
MetaTOR_MGE_00064       	metator_00025_00000     	0.734165	98.55	134
MetaTOR_MGE_00105       	metator_00018_00001     	0.294598	97.17	92
MetaTOR_MGE_00107       	metator_00025_00000     	0.254028	95.54	110
MetaTOR_MGE_00078       	metator_00030_00000     	1.544697	96.34	84
MetaTOR_MGE_00108       	metator_00005_00003     	0.044946	90.48	11
MetaTOR_MGE_00021       	metator_00027_00003     	1.150401	58.41	42
MetaTOR_MGE_00021       	metator_00027_00001     	0.510989	25.94	33
MetaTOR_MGE_00021       	metator_00027_00004     	0.285260	14.48	12
MetaTOR_MGE_00109       	metator_00027_00004     	0.052985	77.95	7
MetaTOR_MGE_00046       	metator_00030_00000     	1.640634	97.80	71
MetaTOR_MGE_00110       	metator_00007_00000     	0.948335	99.58	59
MetaTOR_MGE_00089       	metator_00025_00000     	2.003562	97.92	148
MetaTOR_MGE_00039       	metator_00005_00001     	0.760557	29.96	125
MetaTOR_MGE_00039       	metator_00005_00002     	0.907693	35.75	66
MetaTOR_MGE_00039       	metator_00005_00003     	0.528330	20.81	45
MetaTOR_MGE_00039       	metator_00005_00004     	0.324375	12.78	37
MetaTOR_MGE_00095       	metator_00024_00000     	0.280773	91.43	21
MetaTOR_MGE_00042       	metator_00061_00000     	0.852401	99.24	66
MetaTOR_MGE_00111       	metator_00007_00000     	1.018586	99.55	39
MetaTOR_MGE_00112       	metator_00033_00000     	0.221626	99.09	42
MetaTOR_MGE_00113       	metator_00007_00000     	1.159387	100.00	78
MetaTOR_MGE_00115       	metator_00005_00002     	0.136138	95.15	26
MetaTOR_MGE_00116       	metator_00027_00006     	0.066160	90.13	12
MetaTOR_MGE_00022       	metator_00030_00000     	3.589937	97.65	80
MetaTOR_MGE_00013       	metator_00005_00002     	3.020092	51.27	75
MetaTOR_MGE_00013       	metator_00005_00004     	1.882090	31.95	42
MetaTOR_MGE_00013       	metator_00005_00003     	0.899214	15.27	49
MetaTOR_MGE_00117       	metator_00027_00006     	0.314868	90.70	42
MetaTOR_MGE_00118       	metator_00016_00000     	0.633403	99.45	22
MetaTOR_MGE_00036       	metator_00028_00001     	0.624734	25.92	10
MetaTOR_MGE_00036       	metator_00028_00002     	1.376543	57.12	29
MetaTOR_MGE_00036       	metator_00028_00003     	0.355338	14.75	10
MetaTOR_MGE_00119       	metator_00002_00003     	0.185339	87.57	46
MetaTOR_MGE_00120       	metator_00002_00003     	0.386603	79.95	105
MetaTOR_MGE_00120       	metator_00002_00004     	0.063033	13.04	50
MetaTOR_MGE_00010       	metator_00005_00001     	1.505444	98.36	120
MetaTOR_MGE_00043       	metator_00007_00000     	3.561128	99.66	196
MetaTOR_MGE_00090       	metator_00033_00000     	0.988341	98.97	93
MetaTOR_MGE_00050       	metator_00013_00000     	2.020641	99.64	97
MetaTOR_MGE_00037       	metator_00033_00000     	3.376700	98.79	115
MetaTOR_MGE_00002       	metator_00035_00000     	0.004243	13.39	5
MetaTOR_MGE_00087       	metator_00002_00004     	0.367521	18.28	74
MetaTOR_MGE_00087       	metator_00002_00003     	1.540725	76.65	120
MetaTOR_MGE_00122       	metator_00022_00000     	0.264113	100.00	56
MetaTOR_MGE_00123       	metator_00028_00004     	0.083084	96.90	26
MetaTOR_MGE_00001       	metator_00052_00000     	1.265399	98.88	94
MetaTOR_MGE_00045       	metator_00002_00004     	2.377034	53.94	87
MetaTOR_MGE_00045       	metator_00002_00003     	1.653914	37.53	130
MetaTOR_MGE_00124       	metator_00027_00005     	0.797492	95.28	104
MetaTOR_MGE_00125       	metator_00001_00000     	0.198095	98.85	38
MetaTOR_MGE_00126       	metator_00022_00000     	0.106150	100.00	37
MetaTOR_MGE_00127       	metator_00009_00003     	0.119381	58.60	10
MetaTOR_MGE_00127       	metator_00009_00002     	0.065878	32.34	12
MetaTOR_MGE_00130       	metator_00024_00000     	0.316748	98.79	17
MetaTOR_MGE_00018       	metator_00027_00003     	0.482715	89.75	33
MetaTOR_MGE_00131       	metator_00002_00004     	0.032209	12.45	27
MetaTOR_MGE_00131       	metator_00002_00003     	0.209501	80.95	79
MetaTOR_MGE_00051       	metator_00030_00000     	0.512526	96.37	64
